index,content
中风的定义,中风是以突然晕倒、不省人事，伴口角歪斜、语言不利、半身不遂，或 不经昏仆仅以口歪、半身不遂为主症的病证。其发生与饮食不节、五志 过极、年老体衰等因素有关，风、火、痰、瘀为主要病因。本病病位在 脑，病变涉及心、肝、脾、肾等脏。基本病机是脏腑阴阳失调，气血逆 乱，上扰清窍，窍闭神匿，神不导气。
中风的西医学定义,中风多见于西医学的急性脑血管病，包括出血性（脑出血、蛛网膜下腔 出血）和缺血性（脑血栓形成、脑栓塞）脑血管意外等。
中风的中医辩证,中风分为中经络和中脏腑，中经络的主证是半身不遂，肌肤不仁，舌强言謇，口角歪斜。中脏腑的主症 是突然昏仆，神志恍惚，嗜睡，或昏迷，并见半身不遂、舌强语謇、口角歪斜等。兼见神志迷蒙，牙关紧闭，两手握固，面赤气粗，喉中痰鸣，二便不通，脉弦滑而数为闭证；目合口张，手撒溺遗，鼻鼾息微，二便失禁，四肢逆冷，脉细弱等为脱证。
中风的中经络的具体表现,"主症 半身不遂，肌肤不仁，舌强言謇，口角歪斜。兼见面红目赤，眩晕头痛，心烦易怒，口苦咽干，便秘尿黄，舌红或绛，苔黄或燥，脉弦有力，为肝阳暴亢；肢体麻木或手足拘急，头晕目
眩，苔白腻或黄腻，脉弦滑，为风痰阻络；口黏痰多，腹胀便秘，舌红，苔黄腻或灰黑，脉弦滑大，为痰热腑实；肢体软弱，偏身麻木，手足肿胀，面色淡白，气短乏力，心悸自汗，舌暗，苔白腻，脉细涩，为气虚血瘀；肢体麻木，心烦失眠，眩晕耳鸣，手足拘挛或蠕动，舌红，苔少，脉细数，为阴虚风动。"
中风的中脏腑的具体表现,中脏腑的主症 是突然昏仆，神志恍惚，嗜睡，或昏迷，并见半身不遂、舌强语謇、口角歪斜等。兼见神志迷蒙，牙关紧闭，两手握固，面赤气粗，喉中痰鸣，二便不通，脉弦滑而数为闭证；目合口张，手撒溺遗，鼻鼾息微，二便失禁，四肢逆冷，脉细弱等为脱证。
中风的主穴有,在针灸治疗中，中风之中经络主要选取的穴位为：水沟 内关 三阴交 极泉 尺泽 委中；中风之中脏腑主要选取的穴位为：水沟 百会 内关
中风的中经络配穴是,在针灸治疗中，中风之中经络可以选用的配穴为：肝阳暴亢配太冲、太溪；风痰阻络配丰隆、风池；痰热腑实配曲池、内庭、丰隆；气虚血瘀配足三里、气海；阴虚风动配太溪、风池。口角歪斜配颊车、地仓；上肢不遂配肩髃、手三里、合谷；下肢不遂配环跳、阳陵泉、阴陵泉、风市、足三里、解溪；头晕配风池、完骨、天柱；足内翻配丘墟透照海；便秘配天枢、丰隆、支沟；复视配风池、天柱、睛明、球后；尿失禁、尿潴留，配中极、曲骨、关元。
中风的中脏腑配穴有,中风之中脏腑配穴是：在针灸治疗中，中风之中脏腑可以选用的配穴为：闭证配十二井穴、合谷、太冲；脱证配关元、气海、神阙等。
中风选穴的方义,中风之中经络的选穴的方义是脑为元神之府，督脉入络脑，水沟为督脉穴，可醒脑开窍、调神导气；心主血脉藏神，内关为心包经络穴，可调理心神，疏通气血；三阴交为足三阴经交会穴，可滋补肝肾；极泉、尺泽、委中，疏通肢体经络。中风之中脏腑的选穴的方义：脑为元神之府，督脉入络脑，水沟、百会为督脉穴，可醒脑开窍；内关为心包经络穴，可调理心神、疏通气血。
中风的中经络穴位的操作方法,水沟用雀啄法，以眼球湿润为佳；刺三阴交时，沿胫骨内侧缘与皮肤成45°角，使针尖刺到三阴交穴，用提插补法；刺极泉时，在该穴位置下2寸心经上取穴，避开腋动脉，直刺进针，用提插泻法，以患者上肢有麻胀和抽动感为度；尺泽、委中直刺，用提插泻法使肢体有抽动感。可在患侧上、下肢各选2个穴位，采用电针治疗。
