question,answer
针灸中疔疮定义？,"疔疮是以皮肤出现粟粒样脓头，红肿热痛，重者伴高热、神昏为主症的病证。因其初起形小根深，基底坚硬如钉，故名疔疮。因发病部位和形状不同，又有“人中疔”“唇疔”“蛇头疔”“红丝疔”等不同名称。本病病位在肌肤腠理。
西医学的颜面部疖痈、急性甲沟炎、脓性指头炎、急性淋巴管炎等均属本病范畴。"
针灸中疔疮辩证？,若初起疮形小如粟米，根深坚硬如钉，始觉麻痒不适，疼痛较轻，继则脓疮增大，红肿灼热，疼痛加剧，恶寒发热，舌红，苔黄，脉数等，为火毒流注经络。其中，发于四肢者，或可见红线隐隐于皮下，并迅速向上走窜，形成“红丝疔”。除局部症状外，兼见寒战、高热、烦躁、神昏、谵语、头痛、呕吐，为疔疮内攻脏腑之危候，称为“疔疮走黄”。
针灸中疔疮基本病机？,其发生常与恣食膏粱厚味、辛辣炙煿之品，肌肤不洁，蚊虫叮咬，刺扎后火毒侵袭等因素有关。基本病机是火毒蕴结肌肤，经络气血凝滞。
针灸中疔疮具体表现？,初起如粟粒状小脓头，发病迅速，根深坚硬如钉，始觉麻痒，而疼痛轻微，继则红肿灼热，疼痛加剧，可伴有恶寒发热等全身症状。
针灸中疔疮针刺基本治法？,泻火解毒。以督脉穴为主。
针灸中疔疮主穴：,身柱（在脊柱区，第5胸椎棘突下凹陷中，后正中线上） 灵台（在脊柱区，第9胸椎棘突下凹陷中，后正中线上） 合谷（在手指，第2掌指关节桡侧远端赤白肉际处） 委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘）
针灸中疔疮配穴：,根据患部所属的经脉循经取穴：发于面部，属阳明经配商阳（在手指，食指末节桡侧，指甲根角侧上方0.1寸（指寸））、内庭（在足背，第2、3跖骨间，第2跖趾关节近端凹陷中），属少阳经配关冲（在手指，第4指末节尺侧，指甲根角侧上方0.1寸（指寸））、足临泣（在足背，第4、5跖骨底结合部的前方，第5趾长伸肌腱外侧凹陷中），属太阳经配少泽（在手指，小指末节尺侧，指甲根角侧上方0.1寸（指寸））、足通谷（在足背，外踝前缘直下，第5跖骨粗隆后方，骰骨下缘凹陷中）。发于手，配足部同名经穴；发于足，配手部同名经穴。或用经脉首尾配穴法，如发于迎香（在面部，鼻翼外缘中点旁，鼻唇沟中）穴处可配对侧的商阳（在手指，食指末节桡侧，指甲根角侧上方0.1寸（指寸）），发于食指端配对侧的迎香（在面部，鼻翼外缘中点旁，鼻唇沟中）。火毒流注经络，配曲池（在前臂，肘横纹下3寸，阳溪与曲池连线上）、大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）；红丝疔，可沿红丝从终点依次点刺到起点，以泻其恶血；若为疔疮走黄，配十二井穴（人体十二条主要经络的起始穴位，位于手指和足趾的末端）、大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）、曲泽（在肘前区，肘横纹上，肱二头肌腱的尺侧缘凹陷中）点刺出血。高热配大椎（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）、十宣（在手指，十指尖端，距指甲游离缘0.1寸（指寸），左右共10穴）；神昏配水沟（在面部，人中沟的上1/3与中1/3交点处）、十二井穴。
针灸中疔疮穴位方义？,疔疮为阳热过甚、火毒蕴结之病，故治疗本病首当针泻阳气。督脉总督一身之阳，灵台（在脊柱区，第9胸椎棘突下凹陷中，后正中线上）、身柱（在脊柱区，第5胸椎棘突下凹陷中，后正中线上）属督脉，为治疗疔疮之经验效穴，可疏泄阳热火毒；合谷（在手指，第2掌指关节桡侧远端赤白肉际处）属手阳明经，阳明经多气多血，故泻之可清热解毒，解肌表之毒邪；疔疮由于火毒流窜，凝滞于血分，故取“血郄”委中（在膝后区，腘横纹上1寸，股二头肌腱的内侧缘），刺之出血可清泻血分蕴热。
针灸中疔疮经络配穴的操作方法？,毫针泻法，或点刺出血。
针灸中疔疮的其他治疗方法？,"（1）三棱针法 在背部脊柱两旁寻找丘疹样突起点3～5个，三棱针挑刺出血3～4滴。
（2）隔蒜灸法 病变局部。将大蒜切成厚2～3mm的蒜片，用针扎数孔后，放置在患部行隔蒜灸。"
