index,content
青蒿鳖甲汤（《温病条辨》）的用法？,上药以水五杯，煮取二杯，日再服（现代用法：水煎服）。
青蒿鳖甲汤（《温病条辨》）的证治机理？,"1、本证为温病后期，阴液已伤，而余邪深伏阴分。
2、卫阳之气，日行于表，而夜入于里。阴分本有伏热，阳气入阴则助长邪热，两阳相加，阴不制阳，故入夜身热。
3、平旦卫气行于表，阳出于阴，则热退身凉。
4、温病后期，阴液已伤，加之邪热深伏阴分，则阴津益耗，无以作汗，故见热退无汗。舌红少苔，脉象细数，皆为阴虚有热之候。
5、此阴虚邪伏之证，若纯用滋阴则滋腻恋邪，单用苦寒则易化燥伤阴，故宜养阴与透邪并进。"
青蒿鳖甲汤（《温病条辨》）的方解？,"1、方中鳖甲咸寒，直入阴分，滋阴退热；青蒿苦辛而寒，其气芳香，清中有透散之力，清热透络，引邪外出，《本草新编》言其 “能别骨中之火行于皮肤＂。两药相配，滋阴清热，内清外透，使阴分伏热有外达之机，共为君药。即如吴瑭自释： “此方有先入后出之妙，青蒿不能直入阴分，有鳖甲领之入也；鳖甲不能独出阳分，有青蒿领之出也。
2、生地甘寒，滋阴凉血；知母苦寒质润，滋阴降火，共助鳖甲以养阴退虚热，为臣药。
3、丹皮辛苦性凉，泄血中伏火，以助青蒿清透阴分伏热，为佐药。
4、诸药合用，滋中有清，清中有透，邪正兼顾，先入后出，共奏养阴透热之功。"
青蒿鳖甲汤（《温病条辨》）中，青蒿的作用？,青蒿苦辛而寒，其气芳香，清中有透散之力，清热透络，引邪外出，《本草新编》言其 “能别骨中之火行于皮肤”。
青蒿鳖甲汤（《温病条辨》）中，鳖甲的作用？,鳖甲咸寒，直入阴分，滋阴退热。
青蒿鳖甲汤（《温病条辨》）中，青蒿和鳖甲相配伍的作用？,青蒿和鳖甲两药相配，滋阴清热，内清外透，使阴分伏热有外达之机，共为君药。即如吴瑭自释：“此方有先入后出之妙，青蒿不能直入阴分，有鳖甲领之入也；鳖甲不能独出阳分，有青蒿领之出也。”
青蒿鳖甲汤（《温病条辨》）的君药？,青蒿鳖甲汤（《温病条辨》）的君药是青蒿、鳖甲
青蒿鳖甲汤（《温病条辨》）中，生地的作用？,生地甘寒，滋阴凉血
青蒿鳖甲汤（《温病条辨》）中，知母的作用？,知母苦寒质润，滋阴降火
青蒿鳖甲汤（《温病条辨》）的臣药？,青蒿鳖甲汤（《温病条辨》）的臣药是生地、知母
青蒿鳖甲汤（《温病条辨》）中，生地和知母的共同作用？,生地和知母共助鳖甲以养阴退虚热
青蒿鳖甲汤（《温病条辨》）中，丹皮的作用？,丹皮辛苦性凉，泄血中伏火，以助青蒿清透阴分伏热
青蒿鳖甲汤（《温病条辨》）的佐药？,青蒿鳖甲汤（《温病条辨》）的佐药是丹皮
青蒿鳖甲汤（《温病条辨》）的运用？,"1、本方为治疗阴虚发热证之常用方。
2、以夜热早凉，热退无汗，舌红少苔，脉细数为辨证要点。"
青蒿鳖甲汤（《温病条辨》）的辨证要点？,以夜热早凉，热退无汗，舌红少苔，脉细数为辨证要点
青蒿鳖甲汤（《温病条辨》）的方论选录？,邪气深伏阴分，混处气血之中，不能纯用养阴，又非壮火，更不得任用苦燥。故以鳖甲蠕动之物，入肝经至阴之分，既能养阴，又能入络搜邪；以青蒿芳香透络，从少阳领邪外出；细生地清阴络之热；丹皮泻血中之伏火；知母者，知病之母也，佐鳖甲、青蒿而成搜剔之功焉。（吴鞠通《温病条辨》卷三）
青蒿鳖甲汤（《温病条辨》）的医案举例？,李，十八岁，十二月初九日。伏暑如汒状，脉弦数，寒热往来，热多则寒，解后有汗，与青蒿鳖甲汤五帖痊愈。（《吴鞠通医案》卷一）
青蒿鳖甲汤（《温病条辨》）的方歌？,青蒿鳖甲知地丹，阴分热伏此方攀，夜热早凉无汗者，从里达表服之安。
清骨散（《证治准绳》）的用法？,水二盅，煎八分，食远服（现代用法：水煎服）
清骨散（《证治准绳》）的证治机理？,"1、本证由肝肾阴虚，虚火内扰所致。
2、阴虚则生内热，虚热蕴蒸，发为骨蒸潮热、心烦口渴；虚火上炎，则唇红颊赤；虚火迫津外泄，故夜寐汗出；真阴亏损，不能充养肌肤，日久遂致形体消瘦；舌红少苔，脉象细数，均为阴虚内热之候。
3、是证以虚火为重，虚火不降则阴愈亏，阴愈亏而火愈炽，治以清虚热为主，佐以滋阴。"
清骨散（《证治准绳》）的方解？,"1、方中银柴胡甘苦微寒，直入阴分而清热凉血，善退虚劳骨蒸之热，《纲目拾遗》言其“治虚劳肌热，骨蒸劳疟”，且无苦燥之弊，为君药。
2、知母泻火滋阴以退虚热；胡黄连入血分而清虚热；地骨皮凉血而退有汗之骨蒸，三药俱入阴退虚火，以助银柴胡清骨蒸劳热，共为臣药。
3、秦艽、青蒿皆辛散透热之品，清虚热并透伏热以外解；鳖甲咸寒，既滋阴潜阳，又引药入阴分，为治虚热之常用药，同为佐药。
4、使以甘草，调和诸药，并防苦寒药物损伤胃气。全方集诸般退热除蒸之品，清透退蒸，重在治标。"
清骨散（《证治准绳》）中，银柴胡的作用？,方中银柴胡甘苦微寒，直入阴分而清热凉血，善退虚劳骨蒸之热，《纲目拾遗》言其“治虚劳肌热，骨蒸劳疟”，且无苦燥之弊，为君药。
清骨散（《证治准绳》）中的君药？,清骨散（《证治准绳》）的君药是银柴胡
清骨散（《证治准绳》）中，胡黄连的作用？,胡黄连入血分而清虚热
清骨散（《证治准绳》）中，知母的作用？,知母泻火滋阴以退虚热
清骨散（《证治准绳》）中，地骨皮的作用？,地骨皮凉血而退有汗之骨蒸
清骨散（《证治准绳》）中的臣药？,清骨散（《证治准绳》）的臣药是胡黄连，地骨皮，知母
清骨散（《证治准绳》）中，胡黄连、地骨皮、知母的共同作用？,三药俱入阴退虚火，以助银柴胡清骨蒸劳热
清骨散（《证治准绳》）中，秦艽的作用？,秦艽为辛散透热之品，清虚热并透伏热以外解
清骨散（《证治准绳》）中，青蒿的作用？,青蒿为辛散透热之品，清虚热并透伏热以外解
清骨散（《证治准绳》）中，鳖甲的作用？,鳖甲咸寒，既滋阴潜阳，又引药入阴分，为治虚热之常用药
清骨散（《证治准绳》）中的佐药？,清骨散（《证治准绳》）的佐药是秦艽、青蒿、鳖甲
清骨散（《证治准绳》）中，秦艽、青蒿、鳖甲的共同作用？,清虚热并透伏热以外解，既滋阴潜阳，又引药入阴分
清骨散（《证治准绳》）中，甘草的作用？,既滋阴潜阳，又引药入阴分
清骨散（《证治准绳》）中的使药？,清骨散（《证治准绳》）的使药是甘草
清骨散（《证治准绳》）的运用？,"1、本方为治疗骨蒸劳热之常用方。
2、以骨蒸潮热，形瘦盗汗，舌红少苔，脉细数为辨证要点。
3、原方后注“血虚甚加当归、芍药、生地；嗽多加阿胶、麦冬、五味子”，可资临床参佐。"
清骨散（《证治准绳》）的辨证要点？,以骨蒸潮热，形瘦盗汗，舌红少苔，脉细数为辨证要点。
清骨散（《证治准绳》）的方论选录？,此足少阳、厥阴药也。地骨皮、黄连、知母之苦寒，能除阴分之热，而平之于内；柴胡、青蒿、秦艽之辛寒，能除肝胆之热，而散之于表；鳖阴类而甲属骨，能引诸药入骨而补阴；甘草甘平，能和诸药而退虚热也。（汪昂《医方集解·泻火之剂》）
清骨散（《证治准绳》）的医案举例？,曾经失经至年余，现在寒热往来，口苦，胸胀欲呕，咳嗽，诊脉弦细，舌净，是属肝病。当用清骨散法。青蒿梗一钱半，炙鳖甲五钱，生地五钱，当归三钱，冬桑叶一钱，生牡蛎五钱，降真香一钱，川郁金一钱半，炒丹皮三钱，生白芍三钱，陈皮八分，荷叶一角
清骨散（《证治准绳》）的方歌？,清骨散用银柴胡，胡连秦艽鳖甲辅，地骨青蒿知母草，骨蒸劳热保无虞。
清骨散（《证治准绳》）的附方？,秦艽鳖甲散（《卫生宝鉴》）
清骨散（《证治准绳》）与秦艽鳖甲散（《卫生宝鉴》）的鉴别？,"1、相同点：秦艽鳖甲散（《卫生宝鉴》）与青蒿鳖甲汤（《温病条辨》）、清骨散（《证治准绳》）同治阴虚发热。
2、不同点：青蒿鳖甲汤（《温病条辨》）以青蒿、鳖甲“先入后出”，配伍生地、知母，是养阴与透热并进，治热病伤阴、邪伏阴分之证。清骨散（《证治准绳》）集银柴胡、胡黄连、秦艽、地骨皮、青蒿等退热除蒸之品于一方，重在清透伏热以治标，配鳖甲、知母兼顾滋养阴液以治本，用于治疗阴虚内热之骨蒸劳热。秦艽鳖甲散（《卫生宝鉴》）以疏风之柴胡、秦艽与养阴退蒸之鳖甲、地骨皮，及清热养血之知母、当归相伍，是养阴清热与和解祛风并进，治风劳病之骨蒸盗汗。"
秦艽鳖甲散（《卫生宝鉴》）的用法？,上六味为粗末，每服五钱（15g），水一盏，青蒿五叶，乌梅一个，煎至七分，去渣温服，空心、临卧各一服。
秦艽鳖甲散（《卫生宝鉴》）的运用？,"1、本方为治疗阴亏血虚，风邪传里化热之风劳病之方。
2、症见骨蒸盗汗，肌肉消瘦，唇红颊赤，气粗，困倦，舌红少苔，脉细数。"
秦艽鳖甲散（《卫生宝鉴》）的辨证要点？,以骨蒸盗汗，肌肉消瘦，唇红颊赤，气粗，困倦，舌红少苔，脉细数为辨证要点。
当归六黄汤（《兰室秘藏》）的用法？,上药为粗末，每服五钱（15g），水二盏，煎至一盏，食前服，小儿减半服之（现代用法：水煎服）。
当归六黄汤（《兰室秘藏》）的证治机理？,"1、本方所治盗汗为阴虚火旺所致。
2、肾阴亏虚不能上济心火，则心火独亢，致虚火伏藏于阴分，寐则卫气行阴，助长阴分伏火，两阳相加，迫使阴液失守而盗汗
3、虚火上炎，故见面赤心烦；火耗阴津，邪热亢盛，乃见口干唇燥，大便干结，小便黄赤；舌红苔黄，脉数，皆内热之象。"
当归六黄汤（《兰室秘藏》）的方解？,"1、虚火上炎，故见面赤心烦；火耗阴津，邪热亢盛，乃见口干唇燥，大便干结，小便黄赤；舌红苔黄，脉数，皆内热之象。
2、苦寒之黄连、黄芩、黄柏并用，意在清热泻火，且黄连尤善清心，黄柏尚可坚阴。六药相伍，滋阴泻火兼施，标本兼顾。
3、汗出过多，卫虚不固，故倍用黄芪，益气实卫以固表，《医宗金鉴·删补名医方论》言“倍加黄芪者，一以完已虚之表，一以固未定之阴”，且合当归、熟地益气养血。
4、诸药配伍，标本兼顾，甘润养血滋阴，苦寒坚阴泻火，甘温益气固表，共奏滋阴泻火、固表止汗之功。"
当归六黄汤（《兰室秘藏》）中，当归的作用？,当归甘辛，入肝肾而滋阴养血，养阴液而补其不足
当归六黄汤（《兰室秘藏》）中，生地黄的作用？,生地黄甘寒，归心、肝、肾经，凉血而清热，养阴而生津，助当归滋阴而补液、养阴而清热
当归六黄汤（《兰室秘藏》）中，熟地黄的作用,熟地黄味甘性寒，同归心、肝、肾三经，填骨髓，生精血，益肾水而治血。
当归六黄汤（《兰室秘藏》）中，黄芩的作用？,黄芪善清上焦郁热，清热泻火
当归六黄汤（《兰室秘藏》）中，黄柏的作用？,黄柏走下焦，清下焦虚火，尚可坚阴
当归六黄汤（《兰室秘藏》）中，黄连的作用？,黄连尤善清心，潜降心火
当归六黄汤（《兰室秘藏》）中，黄芪的作用？,黄芪，益气实卫以固表，《医宗金鉴·删补名医方论》言“倍加黄芪者，一以完已虚之表，一以固未定之阴”，且合当归、熟地益气养血。
当归六黄汤（《兰室秘藏》）的君药？,当归六黄汤（《兰室秘藏》）的君药是当归、黄芪
当归六黄汤（《兰室秘藏》）的臣药?,当归六黄汤（《兰室秘藏》）的臣药是生地黄，熟地黄
当归六黄汤（《兰室秘藏》）中的佐药是？,当归六黄汤（《兰室秘藏》）的佐药是黄芩，黄连，黄柏
当归六黄汤（《兰室秘藏》）中，当归和黄芪相配伍的作用？,"1、用当归以养液，用黄芪以益气固表，一以完已虚之表，一以固未定之阴。
2、滋阴补气，阴阳双补，气血同固，营卫得和，则汗自解也。"
当归六黄汤（《兰室秘藏》）中，生地黄和熟地黄相配伍的作用？,"1、生地黄、熟地黄入肝肾而滋阴养血，阴血充则水能制火。
2、二地甘寒，归心、肝、肾经，凉血而清热，养阴而生津，助当归滋阴而补液、养阴而清热，填骨髓，生精血，益肾水而治血。"
当归六黄汤（《兰室秘藏》）中，黄芩，黄连和黄柏相配伍的作用？,"1、黄芩泻上焦火，黄连泻中焦火，黄柏泻下焦火，令三火得其平也。
2、三焦分清虚火，则令火泻。"
当归六黄汤（《兰室秘藏》）的运用？,"1、本方为治疗阴虚火旺盗汗之常用方。
2、以盗汗面赤，心烦溲赤，舌红，脉数为辨证要点。"
当归六黄汤（《兰室秘藏》）的辨证要点？,以盗汗面赤，心烦溲赤，舌红，脉数为辨证要点。
当归六黄汤（《兰室秘藏》）的方论选录？,寤而汗出曰自汗，寐而汗出曰盗汗。阴盛则阳虚不能外固，故自汗。阳盛则阴虚不能中守，故盗汗。若阴阳平和之人，卫气昼则行阳而寤，夜则行阴而寐，阴阳既济，病安从来？惟阴虚有火之人，寐则卫气行阴，阴虚不能济阳，阳火因盛而争于阴，故阴液失守外走而汗出，寤则卫气复行出于表，阴得以静，故汗止矣。用当归以养液，二地以滋阴，令阴液得其养也。用黄芩泻上焦火，黄连泻中焦火，黄柏泻下焦火，令三火得其平也。又于诸寒药中加黄芪，庸者不知，以为赘品，且谓阳盛者不宜，抑知其妙义正在于斯耶！盖阳争于阴，汗出营虚，则卫亦随之而虚。故倍加黄芪者，一以完已虚之表，一以固未定之阴。（吴谦《医宗金鉴·删补名医方论》）
