question,answer,source
针灸研究包括哪些？,目前针灸研究主要在针灸临床、实验研究等方面，并取得了一定进展。,手动录入
针灸临床适应证范围有哪些？,针灸临床适应证广，1980年WHO向全世界宣布，针灸的适应证为43 种；1996年WHO在意大利米兰会议上提出针灸的适应证为64种。2002 年杜元灏提出了针灸疾病谱的4级划分概念。国内研究报道针灸适应证 532种，国外130种。国外针灸研究主要以临床疗效的验证为主，而国内则注重针灸技术和病种的优势研究，随着进一步研究可能会发现更广的针灸应用领域。,手动录入
经穴效应特异性研究是什么？,经穴效应是否存在特异性是针灸研究面临的难题之一。国外报道研究结果不尽一致，关于针灸辨证取穴与否对疗效的影响，有研究显示有差异，有研究显示无差异。国内国家重点基础研究发展计划（973计划） 课题“经穴效应特异性基本规律及生物信息基础研究”（2006-2010)和“经穴效应循经特异性规律及关键影响因素基础研究”（2011-2016）均围绕该命题进行了系列研究。中国研究者报道的经穴效应特异性临床研究多 以阳性结果为主，如针刺经穴治疗偏头痛、功能性消化不良、痛经、缺 血性脑卒中、痛经、高血压、慢性稳定型心绞痛等的研究结果表明，针 刺经穴的疗效均优于非经非穴。经穴效应特异性与穴位敏化的关系也在 国家自然科学基金委员会资助、2016年正式启动的第一个中医药领域重 大项目“穴位的敏化研究”（2016-2020）中开展工作，期望将为经穴效 应特异性理论的阐释和发展做出新的贡献和努力。,手动录入
针刺手法的研究包括对哪些方面的研究？,针刺手法的研究主要是古代针刺手法的特色总结与探讨、针刺手法的临 床应用和机制等研究。有研究利用数据挖掘，对《内经》《难经》《针 灸大成》等经典著作及针灸医家针刺手法特色进行总结和分析。临床研 究重点在于提插补泻、捻转补泻、烧山火、透天凉、飞经走气等针刺手 法的临床应用，研究结果均显示了良好的临床疗效。机制研究方面主要 是古典针法的生物学基础，如提插、捻转、刺络疗法的血管生物学基 础，留针时间、不同针灸方法的效应差异等方面。研究结合生物力学原 理、计算机技术、传感技术、针刺手法仪、手法参数检测系统、电子针 灸仪等现代的技术对针刺手法的规范化、定量化、仿真化等进行探讨。,手动录入
得气的临床研究是什么方面的研究？,得气的临床研究主要是得气的客观化研究，从早期的定性研究逐渐深入 到定量及量化评价方向。研究内容主要基于电生理学及肌肉收缩、组织 功能表达及能量代谢、脑功能检测、量表测定的得气研究，机体相关因 素与得气的关系。有学者制订了得气区分和量化的量表，如针刺主观感 觉量表（SASS）、针刺感觉量表（MASS）、针刺感觉调查表 （SNSQ）等。,手动录入
针灸循证临床研究有哪些？,循证医学在针灸领域影响日益深入，1995年WHO西太平洋地区办事处 出版的《针灸临床研究方法指南》指出：多中心、随机对照临床试验 （RCTs）是针灸临床研究必须遵循的原则。目前针灸临床RCT研究主 要集中在有效性、安全性、耐受性的评价。2006年梁繁荣等发表的《中 国循证针灸学研究现状与展望》，首次提出了循证针灸学的概念，2009 年梁繁荣、吴曦等编写出版了《循证针灸学》（人民卫生出版社），在 针灸学领域运用循证医学方法开展针灸临床研究已经形成共识。也有研 究基于循证针灸开发了循证针灸智能诊疗设备。,手动录入
灸法的临床研究有哪些？,灸法的临床研究涉及不同灸材、艾烟、灸量及临床效应等方面。安全性 研究方面显示短期艾烟暴露对人体自主神经系统具有良性调整作用。研 究证实灸量是影响艾灸效应的重要因素，一定程度的灸量才能产生机体 保护作用，治疗效果和较佳灸量相关，而非最强灸量，不同灸量的调节 效应存在差异。艾灸新疗法热敏灸，又称腧穴热敏化艾灸疗法，是以腧 穴敏化理论为指导，选择热敏腧穴，施以饱和灸量，激发经气，气至病 所，从而显著提高了临床灸疗疗效。,手动录入
针灸实验研究包括哪些研究？,针灸镇痛作用的研究、灸法作用的研究、对机体各系统功能的调整作用、研究技术的发展与更新,手动录入
针灸镇痛作用的研究成果有哪些？,从针灸文献与近代的临床资料看，针灸具有良好的镇痛作用。20世纪50 年代，中国中医工作者首创了针刺麻醉，到20世纪60～70年代针麻已经 得到广泛应用。针刺麻醉机制复杂，现对针刺麻醉作用原理的研究多是 结合了现代的神经解剖生理学理论及经典的经络、穴位等传统中医理 论。众多的研究结果已证实针刺的针感、镇痛及其调节功能均与神经系 统功能(包括中枢及外周神经系统)有密切关系，其所取穴位是根据局部 感受器支配的神经与手术部位支配的神经脊髓节段所定位，通过对穴位 的有效针麻效应达到有效的镇痛作用。目前主要主张在针刺麻醉的同时 加上小剂量镇痛药物的针药复合麻醉或针刺复合麻醉方法，以补充其镇 痛不足。现代麻醉医学已不仅仅强调术中的麻醉效果，也非常重视术前 及围手术期的应激反应强度。研究提示，与其他麻醉方式相比，针刺麻 醉有减少术后炎症反应的可能，从而更好地恢复免疫调节功能。,手动录入
灸法作用做了哪些研究？,灸法理论与技术不断创新，973计划“灸法作用的基本原理与应用规律研 究”和“基于临床的灸法作用机理研究”以灸法临床有效的病证为载体， 揭示灸法的作用机理。灸法研究在灸材、施灸方法、灸量、艾灸理化特 性与安全性、效应规律与机制研究、文献研究等方面取得了一定进展。 在灸材方面，研究结果表明热水、烟条、激光虽均有一定的效应，但在 效应量及效应的全面性方面，以艾绒为最佳。艾在燃烧过程发出的光和 热有一定的光谱特性。艾烟具有广谱抗菌、抗病毒以及平喘等作用。从 实验的角度大量地研究了灸法对人体各大系统的作用，如艾灸具有抗 炎、抗自由基、降脂、促循环、免疫调节、增强器官功能、抗衰老、抗 抑郁、抗癌前病变等作用。,手动录入
