index,content
桑菊饮的组成？,【组成】桑叶二钱五分(7.5g)菊花－钱(3g)杏仁二钱(6g)连翘－钱五分(5g)薄荷八分(2.5g)苦桔梗二钱(6g)生甘草八分(2.5g)苇根二钱(6g)
桑菊饮的用法？,【用法】水二杯，煮取一杯，日二服（现代用法：水煎温服）。
桑菊饮的功效？,【功用】疏风清热，宣肺止咳。
桑菊饮的主治？,【主治】风温初起，邪客肺络证。但咳，身热不甚，口微渴，脉浮数。
桑菊饮的证治机理？,【证治机理】本证系风温初起之轻证。温热病邪从口鼻而入，邪犯肺络，肺失清肃，故以咳嗽为主症；因邪浅病轻，则身不甚热、口渴亦微。正如吴氏所言：咳，热伤肺络也；身不甚热，病不重也；渴而微，热不甚也。治当从辛凉微苦立法，即疏风清热，宣肺止咳。
桑菊饮方解？,【方解】方中桑叶甘苦性，善走肺络，疏散风热，又清宣肺热而止咳嗽；菊花辛甘性寒，疏散风热，又清利头目而肃肺。二药相须，直走上焦，协同为用，以疏散肺中风热见长，共为君药。杏仁苦降，肃降肺气；桔梗辛散，开宣肺气，相须为用，一宣一降，以复肺之宣降功能而止咳，共为臣药。薄荷辛解表，助君药疏散风热之力；连翘透邪解毒；芦根清热生津，共为佐药。甘草调和诸药为使。诸药相伍，使上焦风热得以疏散，肺气得以宣降，则表证解，咳嗽止。
桑菊饮的运用特点？,【运用】本方为治疗风热犯肺咳嗽之常用方。以咳嗽，发热不甚，微渴，脉浮数为辨证要点。因本方为辛轻剂，故肺热著者，当适当加味，以免病重药轻。原著指出：二三日不解，气粗似喘，燥在气分者，加石膏、知母；舌绛，暮热，甚燥，邪初入营，加元参二钱，犀角一钱；在血分者，去薄荷、芦根，加麦冬、细生地、玉竹、丹皮各二钱；肺热甚，加黄芩；渴者，加花粉。
桑菊饮的鉴别？,【鉴别】银翘散与桑菊饮中均有连翘、桔梗、甘草、薄荷、芦根五药，功能辛解表而治温病初起。但银翘散用银花配伍荆芥、豆鼓、牛蒡子、竹叶，解表清热之力强，为辛平剂;桑菊饮用桑叶、菊花配伍杏仁，肃肺止咳之力大，而解表清热之力逊，故为辛轻剂。
桑菊饮的方论选录？,【方论选录】此辛甘化风、辛微苦之方也。盖肺为清虚之脏，微苦则降，辛则平，立此方所以避辛温也。今世佥用杏苏散通治四时咳嗽，不知杏苏散辛温，只宜风寒，不宜风温，且有不分表里之弊。此方独取桑叶、菊花者，桑得箕星之精，箕好风，风气通于肝，故桑叶善平肝风；春乃肝令而主风，木旺金衰之候，故抑其有余，桑叶芳香有细毛，横纹最多，故亦走肺络而宣肺气。菊花晚成，芳香味甘，能补金水二脏，故用之以补其不足。风温咳嗽，虽系小病，常见误用辛温重剂销砾肺液，致久嗽成劳者，不一而足。圣人不忽于细，必谨于微，医者于此等处，尤当加意也。（吴鞠通《温病条辨》卷一）
桑菊饮的医案举例？,【医案举例】乙酉五月二十四日，刘，十七岁。三月间春温呛咳见血。现在六脉弦细，五更丑、寅、卯时单声咳嗽甚，谓之木扣金鸣，风本生于木也。议辛甘化风，甘柔木。连翘三钱，细生地三钱，薄荷一钱，银花二钱，苦桔梗三钱，桑叶三钱，天冬一钱，茶菊花三钱，甘草二钱，麦冬三钱，鲜芦根三钱。二十八日，咳嗽减，食加，脉犹洪数，左大千右。效不更方，再服四五帖。六月初二日，木扣金呜，与柔肝清肺巳效，左脉洪数已减。于前方去气分辛药，加甘润。（《明清名医全书大成．吴鞠通医学全书吴鞠通医案》卷四）
桑菊饮的方歌？,【方歌】桑菊饮中桔梗翘，杏仁甘草薄荷饶，芦根为引轻清剂，热盛阳明入母膏。
麻黄杏仁甘草石膏汤的组成？,【组成】麻黄去节，四两(9g)杏仁去皮尖，五十个(9g)甘草炙二两(6g)石膏碎，绵裹，半斤(18g)
麻黄杏仁甘草石膏汤的用法？,【用法】上四味，以水七升，煮麻黄，减二升，去上沫，内诸药，煮取二升，去滓。温服一升（现代用法：水煎服）。
麻黄杏仁甘草石膏汤的功效？,【功用】辛疏表，清肺平喘。
麻黄杏仁甘草石膏汤的主治？,【主治】外感风邪，邪热壅肺证。身热不解，有汗或无汗，咳逆气急，甚则鼻扇，口渴，舌苔薄白或黄，脉浮而数。
麻黄杏仁甘草石膏汤的证治机理？,【证治机理】本证是表邪入里化热，壅遏千肺，肺失宣降所致。风寒之邪郁而化热入肺，或风热袭表，表邪不解而入里，热邪充斥内外，则身热不解、汗出、口渴、苔黄、脉数；热壅于肺，肺失宣降，故咳逆气急，甚则鼻扇；若表邪未尽，或肺气闭郁，则毛窍闭塞而无汗；苔薄自、脉浮亦是表证未尽之征。治当清肺热，止咳喘，兼以疏表透邪。
麻黄杏仁甘草石膏汤方解？,【方解】方中麻黄辛温，宣肺平喘，解表散邪。《本草正义》曰：麻黄轻清上浮，专疏肺郁，宣泄气机，是为治外感第一要药。虽曰解表，实为开肺；虽曰散寒，实为泄邪。风寒固得之而外散，即温热亦无不赖之以宣通。石膏辛甘大寒，清泄肺热以生津。二药相伍，一以宣肺为主，一以清肺为主，合而用之，既宣散肺中风热，又清宣肺中郁热，共为君药。石音倍于麻黄，相制为用。全方主以辛凉，麻黄得石膏，宣肺平喘而不助热；石膏得麻黄，清解肺热而不凉遏。杏仁苦温，宣利肺气以平喘咳，与麻黄相配则宣降相因，与石膏相伍则清肃协同，是为臣药。炙甘草既能益气和中，又防石膏寒凉伤中，更能调和于寒温宣降之间，为佐使药。四药相伍，辛温与寒凉并用，宣肺而不助热，清肺而不凉遏。
麻黄杏仁甘草石膏汤的运用特点？,【运用】本方为治疗表邪未解，邪热壅肺而致喘咳之基础方。因石膏倍麻黄，其功用重在清宣肺热，不在发汗，所以临床应用以发热、喘咳、苔黄、脉数为辨证要点。
麻黄杏仁甘草石膏汤的鉴别？,【鉴别】庥杏甘石汤与麻黄汤皆用麻黄、杏仁、甘草治喘咳。但前方主治之喘咳，证属表邪入里化热，壅遏于肺，故去麻黄汤桂枝之温，以麻黄配石膏，清热宣肺为主，兼以解表祛邪；后方主治之喘咳，系风寒束表、肺气失宣所致，故以麻黄配桂枝，相须为用，发汗解表为主，兼以宣肺平喘。二方仅一药之差，然功用及主治证却大相径庭，仲景精于遣药配伍，于此可窥其一斑。越婢汤与麻杏甘石汤皆用麻黄配石背以宣肺疏表，清泄肺热。前方以一身悉肿为主，是水在肌表之征，故加大麻黄用量，配生姜发汗以祛肌表之水湿，并宣畅肺气，通调水道，使水湿下走；用枣、草益气健脾，意在培土制水；不喘，故去杏仁。后方以咳喘为主，是肺失宣降之征，故配杏仁、甘草宣降肺气，止咳平喘。
