question,answer
针刺“得气”的相关内容？,“得气”是指在针刺过程中，患者对针刺部位的感觉以及医者刺手指下的感觉。患者可能会感受到酸、麻、胀、重等反应，有时还会出现热、凉、痒、痛、抽搐、蚁行等感觉，甚至沿着一定的方向和部位传导、扩散。医者的刺手能体会到针下沉紧、涩滞或针体颤动等反应。若针刺后未得气，患者则无任何特殊感觉或反应，医者刺手感觉到针下空松、虚滑。“得气”与否是针刺取效的关键，是否“得气”受到多种因素的影响。针刺“得气”章节包含“得气的概念”“得气的意义”“影响得气的因素”
针刺“得气”的概念？,得气，古称“气至”，近又称“针感”，是指毫针刺入腧穴一定深度后，施以一定的行针手法，使针刺部位获得经气感应。针下是否得气，可以从患者对针刺的感觉和医者刺手指下的感觉两个方面分析判断。当针刺得气时，患者自觉针刺部位有酸、麻、胀、重等反应，有时出现热、凉、痒、痛、抽搐、蚁行等反应，有时出现沿着一定的方向和部位传导、扩散等现象。医者的刺手则能体会到针下沉紧、涩滞或针体颤动等反应。若针刺后未得气，患者则无任何特殊感觉或反应，医者刺手亦感觉到针下空松、虚滑。《标幽赋》中所说的“轻滑慢而未来，沉涩紧而已至……气之至也，如鱼吞钩饵之浮沉；气未至也，如闲处幽堂之深邃”，是对得气与否的形象描述。
针刺“得气”的意义？,得气与否以及得气迟速，是能否获得针刺疗效的关键。《灵枢·九针十二原》说：“刺之要，气至而有效。”临床上一般是得气迅速时，起效较快；得气迟缓时，起效较慢；若不得气时，则疗效较差。诚如《金针赋》所言：“气速效速，气迟效迟。”得气是施行补泻手法的基础和前提。只有在得气的基础上施行补泻手法，才可能取得预期的效果。得气与否以及得气迟速，还可协助判断病情轻重和预后。除去人体禀赋因素，一般来说，得气速者，病情较为轻浅，预后较佳；得气慢甚至久久不能得气者，病情较重，预后欠佳。
针刺“得气”之影响因素？,"1.患者的机能状态患者的病理状态不同，针刺产生的调整作用（即补泻效果）也不同。当患者处于正虚状态时，针刺可以起到扶正补虚作用，若患者处于虚脱状态时，针刺还可以起到回阳固脱作用；当患者处于邪盛状态时，针刺可以起到祛邪泻实作用。
2.腧穴作用的相对特异性腧穴的主治功用，不仅具有普遍性，而且具有相对特异性。
3.针刺手法的选择和运用针刺补泻手法是促使机体虚实状态转化的主要手段。针对患者虚实的性质和程度，选择适宜的补泻手法，并恰当运用，才能达到预期的补泻效应。"
针刺“得气”之患者机能状态因素？,患者的机能状态患者的病理状态不同，针刺产生的调整作用（即补泻效果）也不同。当患者处于正虚状态时，针刺可以起到扶正补虚作用，若患者处于虚脱状态时，针刺还可以起到回阳固脱作用；当患者处于邪盛状态时，针刺可以起到祛邪泻实作用。如针刺足三里可以缓解胃痛，对于实证患者，可以发挥消积导滞、行气止痛的作用；对于虚证患者，可以达到补中益气、养胃止痛的效果。临床实践和实验研究表明，针刺时的机体功能状态，是影响针刺补泻效果的主要因素。
针刺“得气”之腧穴因素？,腧穴作用的相对特异性腧穴的主治功用，不仅具有普遍性，而且具有相对特异性。人体不少腧穴，如关元、气海、命门、膏肓等穴，能鼓舞人体正气，促使功能旺盛，具有强壮作用，适宜于补虚；也有很多腧穴，如人中、委中、十宣等穴，能疏泄病邪，抑制人体功能亢进，具有祛邪作用，适宜于泻实。当施行针刺补泻时，应结合腧穴作用的相对特异性，以便取得较好的针刺补泻效果。
针刺“得气”之操作手法因素？,针刺手法的选择和运用针刺补泻手法是促使机体虚实状态转化的主要手段。针对患者虚实的性质和程度，选择适宜的补泻手法，并恰当运用，才能达到预期的补泻效应。若针刺补泻手法选择或运用不当，将会影响针刺治疗效果，甚或产生不良后果，如《灵枢·邪气脏腑病形》指出：“补泻反，则病益笃。”
毫针补泻手法内容？,施行一定的针刺手法，可以达到补虚泻实的目的。针刺补泻是通过针刺腧穴，运用一定的手法激发经气以鼓舞正气、疏泄病邪而防治疾病的方法。所谓针刺补泻，是针对患者不同的机能状态和疾病性质而言的：针刺补法鼓舞人体正气，使低下的机能恢复旺盛；针刺泻法可疏泄病邪，使亢进的机能恢复正常。毫针补泻手法是实现针刺补泻最主要的手段和方法，可分为单式补泻手法和复式补泻手法。
关于毫针补泻手法之单式手法？,"捻转补泻：针下得气后，拇指向前用力重，向后用力轻者为补法；拇指向后用力重，向前用力轻者为泻法。
提插补泻：针下得气后，先浅后深，重插轻提，以下插用力为主者为补法；先深后浅，轻插重提，以上提用力为主者为泻法。
徐疾补泻：进针时徐徐刺入，疾速出针者为补法；进针时疾速刺入，徐徐出针者为泻法。
迎随补泻：此处指针向补泻。进针时针尖随着经脉循行去的方向刺入为补法，针尖迎着经脉循行来的方向刺入为泻法。
呼吸补泻：在患者呼气时进针，吸气时出针为补法；在患者吸气时进针，呼气时出针为泻法。
开阖补泻：出针后迅速按闭针孔为补法；出针时摇大针孔而不按为泻法。
平补平泻：进针得气后均匀地提插、捻转，即为平补平泻。"
关于毫针补泻手法之捻转补泻？,捻转补泻：针下得气后，拇指向前用力重，向后用力轻者为补法；拇指向后用力重，向前用力轻者为泻法。
