question,answer,
大陷胸汤出自,大陷胸汤《伤寒论》 ,
大陷胸汤组成,大黄去皮 ，六两( 10g ) 芒硝－升 ( 10g ) 甘遂－钱匕 ( lg ) ,
大陷胸汤用法,上三味，以水六升，先煮大黄，取二升，去滓，内芒硝，煮一 两沸，内甘遂未，温服一 升。得快利止后服（现代用法水煎，溶芒硝，冲服甘遂末）。 ,
大陷胸汤功效,泻热逐水。 ,
大陷胸汤主治,大结胸证。心下疼痛，拒按，按之硬，或心下至少腹硬满疼痛而不可近，大便秘结，日哺潮热，或短气烦躁，舌上燥而渴，脉沉紧，按之有力。 ,
大陷胸汤证治机理,本方主治之大结胸证由太阳病误治，邪热内陷，水热互结所致。水热互结，则气机不通，轻者心下疼痛拒按，甚者心下至少腹硬满疼痛而不可近；里热成实，腑气不通，故见大便秘结；脯为邪踞，升降被阻，故见短气烦躁；水热互结，津液不能上承，故舌燥而口渴；由于邪热内陷，燥热累及阳明，故日哺潮热；脉沉紧，按之有力，为邪气盛而正气未虚。治宜泻热逐水。 ,
大陷胸汤方解,方中甘遂苦寒，泻热散结，尤善峻下泻水逐饮，《珍珠褒》言其 “水结胸中，非此不能除＂。苦寒之大黄，荡涤胸腹之邪热；芒硝咸寒，泻热通滞，润燥软坚。二药相须为用，以泻热破积、软坚通滞。三药相伍，寒下峻逐并用，前后分消，药简效宏，共奏峻下逐水泻热之功。,
大陷胸汤运用,本方为治疗水热互结之大结胸证的常用方。以心下硬满而痛不可近，苔黄舌燥，脉沉为辨证要点。煎药时，应先煎大黄。本方药力峻猛，中病即止，以防过剂伤正；素体虚弱者慎用。  ,
大陷胸汤附方,大陷胸丸（《伤寒论》） 大黄半斤(15g) 萃房子熬 ，半升 (9g ) 芒硝半升(9g) 杏仁去皮尖，熬黑，半升 ( 9g ) 上四味，捣筛二味，内杏仁、芒硝，合研如脂，和散，取如弹丸一 枚，别捣甘遂末一 钱 匕，白蜜二合，水二升，煮取一 升，温顿服之。一 宿乃下，如不下，更服，取下为效。功用泻热逐水。主治结胸证。症见胸中硬满而痛，项强如柔痉状。 ,
大陷胸汤需与什么鉴别,与大承气汤、大陷胸丸鉴别。,
大陷胸汤与大承气汤鉴别,同为寒下峻剂，皆用大黄、芒硝，但主治、配伍及用法有异。大承气汤主治里实热结于胃肠之中，燥屎在肠，必借积实、厚朴的推荡之力，大黄后下以求 “生者行速” 之功 ；大陷胸汤主治水热互结于胸腹之间 ，结滞在 胃，故用甘遂逐饮之长 ，大黄先煎以求 ＂熟者行迟 ＂，是 “治上者治宜缓＂ 之意。 ,
