question,answer
遗尿的定义,"遗尿是指指5周岁以上儿童，在睡中小便自遗，醒后方觉的一种病证。其发生常与禀赋不足、久病体虚、习惯不良等因素有关。本病病位在膀胱，与任脉及肾、肺、脾、肝关系密切。基本病机是膀胱和肾的气化功能失调，膀胱约束无权。另外，肝经热郁化火，也可迫注膀胱而致遗
尿。西医学中，遗尿多见于神经发育尚未成熟，大脑皮质或皮质下中枢功能失调者，也可见于泌尿系统异常、感染等疾病。偶因疲劳或睡前多饮而遗尿者，不作病态。
""一定不要举例子"""
什么是遗尿,"遗尿是指指5周岁以上儿童，在睡中小便自遗，醒后方觉的一种病证。其发生常与禀赋不足、久病体虚、习惯不良等因素有关。本病病位在膀胱，与任脉及肾、肺、脾、肝关系密切。基本病机是膀胱和肾的气化功能失调，膀胱约束无权。另外，肝经热郁化火，也可迫注膀胱而致遗
尿。西医学中，遗尿多见于神经发育尚未成熟，大脑皮质或皮质下中枢功能失调者，也可见于泌尿系统异常、感染等疾病。偶因疲劳或睡前多饮而遗尿者，不作病态。
""一定不要举例子"""
遗尿的病因,"遗尿的发生常与禀赋不足、久病体虚、习惯不良等因素有关。
""一定不要举例子"""
为什么会遗尿,"遗尿的发生常与禀赋不足、久病体虚、习惯不良等因素有关。
""一定不要举例子"""
遗尿的病位,"遗尿的病位在膀 胱，与任脉及肾、肺、脾、肝关系密切。
""一定不要举例子"""
遗尿与哪些脏腑有关,"遗尿的病位在膀 胱，与任脉及肾、肺、脾、肝关系密切。
""一定不要举例子"""
遗尿的基本病机,"遗尿的基本病机是膀胱和肾的气化功能失调，膀胱约束无权。另外，肝经热郁化火，也可迫注膀胱而致遗尿。
""一定不要举例子"""
西医学对遗尿的认识,"西医学中，遗尿多见于神经发育尚未成熟，大脑皮质或皮质下中枢功能 失调者，也可见于泌尿系统异常、感染等疾病。偶因疲劳或睡前多饮而遗尿者，不作病态。
""一定不要举例子"""
遗尿的证型,"遗尿的主症是：睡中小便自遗，醒后方觉，数夜或每夜一次，甚至一夜数次。
兼见神疲乏力，面色苍白，肢凉怕冷，白天小便亦多，舌淡，苔薄白， 脉沉细无力，为肾气不足；
疲劳后遗尿加重，少气懒言，食欲不振，大便溏薄，自汗出，舌淡，苔薄，脉细无力，为脾肺气虚；
量少色黄味臊，性情急躁，面赤唇红，或夜间齿，舌红，苔黄，脉弦滑数，为肝经郁热。
""一定不要举例子"""
遗尿的症状,"遗尿的主症是：睡中小便自遗，醒后方觉，数夜或每夜一次，甚至一夜数次。
兼见神疲乏力，面色苍白，肢凉怕冷，白天小便亦多，舌淡，苔薄白， 脉沉细无力，为肾气不足；
疲劳后遗尿加重，少气懒言，食欲不振，大 便溏薄，自汗出，舌淡，苔薄，脉细无力，为脾肺气虚；
量少色黄味臊，性情急躁，面赤唇红，或夜间齿，舌红，苔黄，脉弦滑数，为肝经郁热。
""一定不要举例子"""
遗尿之肾气不足的症状,"睡中小便自遗，醒后方觉，数夜或每夜一次，甚至一夜数次。兼见神疲乏力，面色苍白，肢凉怕冷，白天小便亦多，舌淡，苔薄白， 脉沉细无力，为肾气不足

""一定不要举例子"""
遗尿之脾肺气虚的症状,睡中小便自遗，醒后方觉，数夜或每夜一次，甚至一夜数次。兼疲劳后遗尿加重，少气懒言，食欲不振，大 便溏薄，自汗出，舌淡，苔薄，脉细无力，为脾肺气虚
遗尿之肝经郁热的症状,"遗尿之肝经郁热的具体表现是：睡中小便自遗，醒后方觉，数夜或每夜一次，甚至一夜数次。兼量少色黄味臊，性情急躁，面赤唇红，或夜间齿，舌红，苔黄，脉弦滑数。
""一定不要举例子"""
针灸治疗遗尿的治法,"遗尿的治法是：调理膀胱，温肾健脾
""一定不要举例子"""
遗尿的针灸治疗选穴规律,"治疗遗尿应以任脉穴及膀胱的背俞穴、募穴为主。
""一定不要举例子"""
针灸治疗遗尿的主穴有哪些穴位,"治疗遗尿主要选取的穴位为：关元（在下腹部，前正中线上，当脐中下3寸）、中极（在下腹部，前正中线上，当脐中下4寸）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）、肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）、三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）。
""一定不要举例子"""
针灸治疗遗尿的配穴有哪些,"在针灸治疗中，遗尿之肾气不足的配穴是命门（位于第二、三腰椎棘突间）、太溪（在足内侧，内踝后方，当内踝尖与跟腱之间的凹陷处）。
肝经郁热的配穴是配蠡沟（在小腿内侧，当足内踝尖上5寸，胫骨内侧面的中央）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）。
脾肺气虚的配穴是肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、气海（在下腹部。前正中线上，当脐中下1.5寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）
夜梦多的配穴是百会（在头顶正中线与两耳尖联线的交点处）、神门（在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处）。"
遗尿之肾气不足的配穴是什么,"在针灸治疗中，遗尿之肾气不足的配穴是命门（位于第二、三腰椎棘突间）、太溪（在足内侧，内踝后方，当内踝尖与跟腱之间的凹陷处）
""一定不要举例子"""
遗尿之脾肺气虚的配穴是什么,"遗尿之脾肺气虚的配穴是肺俞（在背部，当第3胸椎棘突下，旁开1.5寸）、气海（在下腹部。前正中线上，当脐中下1.5寸）、足三里（在小腿前外侧，当犊鼻下3寸，距胫骨前缘一横指）
""一定不要举例子"""
遗尿之肝经郁热的配穴是什么,"遗尿之肝经郁热的配穴是配蠡沟（在小腿内侧，当足内踝尖上5寸，胫骨内侧面的中央）、太冲（在足背侧，当第1跖骨间隙的后方凹陷处）
""一定不要举例子"""
遗尿之夜梦多的配穴是什么,"遗尿之夜梦多的配穴是百会（在头顶正中线与两耳尖联线的交点处）、神门（在腕部，腕掌侧横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处）
""一定不要举例子"""
针灸治疗遗尿的方义,"遗尿选穴的方义是：关元（在下腹部，前正中线上，当脐中下3寸）为任脉与足三阴经交会穴，配肾俞（在腰部当第2腰椎棘突下，旁开1.5寸）可培补元气，固摄下元； 中极（在下腹部，前正中线上，当脐中下4寸）、膀胱俞（在骶部，当骶正中嵴旁1.5寸，平第二骶后孔）合用为膀胱之俞募配穴，可振奋膀胱气化功能；三阴交（在小腿内侧，当足内踝尖上3寸，胫骨内侧缘后方）为足三阴经交会穴，可通调肝、脾、肾三经经气，健脾益气，益肾固本而止遗尿。
""一定不要举例子"""
针灸治疗遗尿的操作方法,"毫针补法，多灸。下腹部穴位针尖向下斜刺，以针感达到前阴部为佳。
""一定不要举例子"""
