content,index
经络的定义,"经络是经脉和络脉的总称，是人体内运行气血、联络脏腑、沟通内外、
贯穿上下的通路。"
经络系统中，经的定义,"经，有路径的含义，经脉贯通上下，沟通内外，是经
络系统中的主干，深而在里。"
经络系统中，络的定义,"络，有网络的含义，络脉是经脉别出的分
支，较经脉细小，纵横交错，遍布全身"
络脉可以包括,络脉包括浮络、孙络，
经络学说的定义,"经络学说是阐述人体经络系统的循行分布、生理功能、病理变化及其与
脏腑相互关系的一门学说。"
经络的发现,经络之所以被发现，是因为针灸等刺激后感应传导现象的总结，腧穴主治功效的总结，气功“行气”感的反复出现，体表病理现象的总结，解剖生理知识的启发
气功的别称,古代称为“导引”“行气”
经络的发现之针灸等刺激后感应传导现象的总结,古代医家在临床实践中观察到针刺穴位或一定部位时，患者会产生酸、麻、胀、重等主观感觉，称为“针感”。这种“针感”常沿着一定路线向远部传导。《灵枢·邪气脏腑病形》指出：“中气穴，则针游于巷。”温灸时也有热感由施灸部位向远处扩散。经过长期观察，古代医家逐步认识到人体各部有复杂而又有规律的联系通路，从而总结出经络分布的轮廓。
经络的发现之腧穴主治功效的总结,"在长期的针灸临床实践中，古代医家发现腧穴不仅能治疗局部病证，还
能治疗某些远隔部位的病证，而且这些主治范围基本相同的穴位往往有
规律地排列在一条线路上，为经络的存在提供了佐证。"
经络的发现之气功“行气”感的反复出现,"气功，古代称为“导引”“行气”。《灵枢·官能》载：“缓节柔筋而心和调
者，可使导引、行气。”在导引、行气过程中，随着呼吸的调整、心神
的内守、肢体的舒缓，常常出现“气”在体内有规律地流行的感觉，这种
感觉的反复出现，有利于对经气的认识和经络的发现。战国初期的文物
有一玉佩，上刻有文字，名《行气玉佩铭》。铭文中“深则蓄，蓄则
伸，伸则下……”就是关于气功行气过程的描述，意思是呼吸深沉使气
积蓄（于丹田）会出现气的上下运行。在长沙马王堆汉墓出土的帛书
中，有一幅画有各种姿势的“导引图”与记载十一脉的文字连在一起，说
明导引、行气与经络的密切关系。"
经络的发现之体表病理现象的总结,古代医家在医疗实践中发现，当体内某一脏腑发生疾病时，在体表相应 部位可出现一些病理现象，如压痛、结节、皮疹、皮肤色泽改变等异常 反应。《灵枢·背腧》记载：“欲得而验之，按其处，应在中而痛解，乃 其腧也。”就是说脏腑有病，就会在体表相应部位出现反应，按压反应 部位，病痛也随之缓解。《素问·脏气法时论》也记载：“心病者，胸中 痛，胁支满，胁下痛，鹰背肩胛间痛，两臂内痛。”通过对体表病理现 象的反复观察，发现其具有一定的规律性，并且与经络有密切的联系
经络的发现之解剖生理知识的启发,《灵枢·经水》记载：“若夫八尺之士，皮肉在此，外可度量切循而得 之，其死可解剖而视之。其脏之坚脆，腑之大小，谷之多少，脉之长 短，血之清浊，气之多少……皆有定数。”可见，古代医家通过临床观 察和对尸体的解剖，在一定程度上对内脏的位置、形态及某些生理功能 有了直观认识，发现人体分布着许多与四肢相联系的管状和条索状结 构，观察到某些脉内血液流动的现象等。这些观察对认识经络有一定的 启发。 经络发现的途径可能是多方面的，各种认识相互启发，互相佐证，彼此 补充，从而使人们对经络的认识逐步完善。
经络系统的组成,"经络系统由经脉、络脉和连属于体表的十二经筋、十二皮部组成（图1-
1），其中经脉包括十二经脉、奇经八脉、十二经别，络脉包括十五络
脉和难以计数的浮络、孙络等。"
十二经脉的定义,十二经脉是经络系统的主体，是手三阴经（肺、心包、心）、手三阳经 （大肠、三焦、小肠）、足三阳经（胃、胆、膀胱）、足三阴经（脾、 肝、肾）的总称，又称为“正经”。
十二经脉的名称,"十二经脉的名称是根据手足、阴阳、脏腑来命名的。首先用手、足将十
二经脉分为手六经和足六经。根据中医理论，内属阴，外属阳，脏属
阴，腑属阳，因此属于五脏和心包、分布于四肢内侧的经脉为阴经，属
于六腑、分布于四肢外侧的经脉为阳经。根据阴阳消长的规律，阴阳又
分为三阴（太阴、厥阴、少阴）三阳（阳明、少阳、太阳）。十二经脉
与脏腑有联属的关系，根据经脉联属的脏腑进一步命名，如联属于肺脏
的为肺经，联属于大肠腑的为大肠经。根据上述命名规律，十二经脉的
名称即为手太阴肺经、手阳明大肠经、足阳明胃经、足太阴脾经、手少
阴心经、手太阳小肠经、足太阳膀胱经、足少阴肾经、手厥阴心包经、
手少阳三焦经、足少阳胆经、足厥阴肝经。"
