index,content
麻黄汤的用法：,麻黄汤的用法：上四味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合。覆取微似汗，不须啜粥，余如桂枝法将息（现代用法：水煎服，温覆取微汗）
麻黄汤的证治机理：,麻黄汤的证治机理：本证系由风寒束表，肺气失宣所致。风寒之邪侵袭肌表，营卫首当其冲，寒性收引凝滞，致使卫阳被遏，营阴郁滞，即卫闭营郁。卫气抗邪，正邪相争，则恶寒、发热；营卫不畅，腠理闭塞，经脉不通，则无汗、头痛、身痛、骨节疼痛；皮毛内合于肺，寒邪束表，肺气不宣，则上逆为喘；舌苔薄白，脉浮紧，皆是风寒束表之象。法当发汗解表，宣肺平喘
麻黄汤的方解：,麻黄汤的方解：方中麻黄辛温，主入肺经，为发汗之峻剂，既开腠理、透毛窍，发汗以祛在表之风寒；又开宣肺气，宣散肺经风寒而平喘，为君药。风寒外束，卫闭营郁，仅以麻黄开表散寒，恐难解营郁之滞，遂臣以辛温而甘之桂枝解肌发表，通达营卫，既助麻黄发汗散寒之力，又可温通营卫之郁。麻黄、桂枝相须为用，发汗之力较强，可使风寒去而营卫和。肺主宣降，肺气郁闭，宣降失常，故又佐以杏仁利肺平喘，与麻黄相伍，一宣一降，以复肺气宣降之权而平喘，又使邪气去而肺气和。使以炙甘草，既调和药性，又缓麻、桂峻烈之性，使汗出而不致耗伤正气。四药相伍，风寒得散，肺气得宣，诸症可愈
麻黄汤的配伍特点：,麻黄汤的配伍特点：麻桂相须，开腠畅营；麻杏相使，宣降相宜。
麻黄汤的运用：,麻黄汤的运用：本方既为治疗外感风寒表实证之代表方，又为辛温发汗法之基础方。以恶寒发热，无汗而喘，脉浮紧为辨证要点。本方为辛温发汗之峻剂，当中病即止，不可过服。柯琴指出：“此乃纯阳之剂，过于发散，如单刀直入之将，投之恰当，一战成功，不当则不戢而招祸。故用之发表，可一而不可再。”（《伤寒来苏集》）对于“疮家”“淋家”“衄家”“亡血家”，以及外感表虚自汗、血虚而脉兼“尺中迟”、或误下而见“身重心悸”等，虽有表寒证，亦皆应禁用。
麻黄汤的附方：,麻黄汤的附方：三拗汤，麻黄加术汤，麻黄杏仁薏苡甘草汤，华盖散
三拗汤：,三拗汤：（《太平惠民和剂局方》） 甘草不炙 麻黄不去根节 杏仁不去皮尖，各等分（各6g） 上 咀为粗末，每服五钱（15g），水一盏半，姜五片，同煎至一盏，去滓，通口服。以衣被盖覆睡，取微汗为度。功用：宣肺解表。主治：外感风寒，肺气不宣证。症见鼻塞声重，语音不出，咳嗽胸闷等。
麻黄加术汤：,麻黄加术汤：（《金匮要略》） 麻黄去节，三两（9g） 桂枝去皮，二两（6g） 甘草炙，一两（3g）杏仁去皮尖，七十个（9g） 白术四两（12g） 上五味，以水九升，先煮麻黄，减二升，去上沫，内诸药，煮取二升半，去滓，温服八合，覆取微似汗。功用：发汗解表，散寒祛湿。主治：风寒湿痹证。症见身体疼烦，无汗等。
麻黄杏仁薏苡甘草汤：,麻黄杏仁薏苡甘草汤：（《金匮要略》） 麻黄去节，汤泡，半两（6g） 杏仁去皮尖，炒，十个（9g） 薏苡仁半两（12g） 甘草炙，一两（3g） 上锉麻豆大，每服四钱匕（12g）。水盏半，煮八分，去滓，温服。有微汗，避风。功用：发汗解表，祛风除湿。主治：风湿在表，湿郁化热证。症见一身尽痛，发热，日晡所剧者
华盖散：,华盖散：（《博济方》） 紫苏子炒 麻黄去根节 杏仁去皮尖 陈皮去白 桑白皮 赤茯苓去皮，各一两（6g） 甘草半两（3g） 七味同为末，每服二钱（6g），水一盏，煎至七分，温服。功用：宣肺解表，止咳祛痰。主治：风寒袭肺证。症见咳嗽上气，痰气不利，呀呷有声，胸膈痞满，鼻塞声重，苔白，脉浮紧。
