question,answer
手太阴肺经的循行原文？,《灵枢．经脉》：肺手太阴之脉，起于中焦，下络大肠，还循胃口，上膈属肺。从肺系，横出腋下，下循臑内，行少阴、心主之前，下肘中，循臂内上骨下廉，入寸口，上鱼，循鱼际，出大指之端。其支者：从腕后，直出次指内廉，出其端。
手太阴肺经的主治？,"1、肺系病证：咳嗽，气喘，咽喉肿痛，咯血，胸痛等。
2、经脉循行部位的其他病证：肩背痛，肘臂挛痛，手腕痛等。"
手太阴肺经有多少个穴位？,左右各11个穴位，分别为中府、云门、天府、侠白、尺泽、孔最、列缺、经渠、太渊、鱼际、少商。
手太阴肺经的起止点？,起于中府，止于少商。
中府穴的定位？,在胸部，横平第1肋间隙，锁骨下窝外侧，前正中线旁开6寸。
中府穴的主治？,"1、咳嗽、气喘、胸痛等胸肺病证。
2、肩背痛。"
中府穴的刺法？,向外斜刺或平刺0.5~0.8寸，不可向内下深刺，以免伤及肺脏，引起气胸。
中府穴属于哪一条经络？,手太阴肺经，肺之募穴。
云门穴的定位？,在胸部，锁骨下窝凹陷中，肩胛骨喙突内缘，前正中线旁开6寸。
云门穴的主治？,"1、咳嗽、气喘、胸痛等胸肺病证。
2、肩背痛。"
云门穴的刺法？,向外斜刺或平刺0.5~0.8寸，不可向内下深刺，以免伤及肺脏，引起气胸。
云门穴属于哪一条经络？,手太阴肺经。
天府穴的定位？,在臂前区，腋前纹头下3寸，肱二头肌桡侧缘处。
天府穴的主治？,"1、咳嗽、气喘、鼻衄等肺系病证。
2、瘿气。
3、上臂痛。"
天府穴的刺法？,直刺0.5~1寸。
天府穴属于哪一条经络？,手太阴肺经。
侠白穴的定位？,在臂前区，腋前纹头下4寸，肱二头肌桡侧缘处。
侠白穴的主治？,"1、咳嗽、气喘等肺系病证。
2、心痛，干呕。
3、上臂痛。"
侠白穴的刺法？,直刺0.5~1寸。
侠白穴属于哪一条经络？,手太阴肺经。
尺泽穴的定位？,在肘区，肘横纹上，肱二头肌腱桡侧缘凹陷中。
尺泽穴的主治？,"1、咳嗽、气喘、咯血、咽喉肿痛等肺系实热病证。
2、肘臂挛痛。
3、急性吐泻、中暑、小儿惊风等急症。"
尺泽穴的刺法？,直刺0.8~1.2寸，或点刺出血。
